Movie_ID,Movie_Name,Genre,Tickets_Sold,Ticket_Price,Total_Revenue,Show_Time,Screen_No
MV001,Pathaan,Action,120,200,24000,18:00,1
MV002,Jawan,Action,150,220,33000,20:00,2
MV003,Dunki,Comedy,100,180,18000,17:00,1
MV004,Rocky Aur Rani,Romance,90,200,18000,19:30,3
MV005,Shershaah,War,110,210,23100,18:30,4
MV006,Gadar 2,Action,180,230,41400,21:00,2
MV007,Bhool Bhulaiyaa 2,Horror,95,170,16150,20:15,5
MV008,RRR,Drama,140,250,35000,18:45,1
MV009,Kantara,Thriller,130,190,24700,17:30,3
MV010,KGF 2,Action,160,240,38400,19:00,2
MV011,Chhichhore,Drama,105,160,16800,16:00,4
MV012,Drishyam 2,Thriller,115,200,23000,21:15,5
MV013,Brahmastra,Fantasy,125,220,27500,18:00,1
MV014,Uri,War,135,210,28350,20:45,2
MV015,Bajrangi Bhaijaan,Drama,145,230,33350,17:15,3
MV016,3 Idiots,Comedy,155,210,32550,19:45,4
MV017,PK,Comedy,160,200,32000,21:00,5
MV018,Tanhaji,Historical,115,200,23000,18:30,1
MV019,Andhadhun,Thriller,108,180,19440,20:00,3
MV020,Stree,Horror,100,160,16000,17:30,2
